STORAGE[GWh],SUB JUDGE ENERGY STORAGE PER[%],YEARLY POWER GENERATION[GWh]
50.0,10,1891.8935299273835
50.0,15,1931.9922985456187
50.0,20,1928.249764541649
50.0,25,1928.492130524552
50.0,30,1928.492130524552
50.0,35,1928.492130524552
50.0,40,1928.492130524552
50.0,45,1915.0361189753708
50.0,50,1884.5050021232134
50.0,55,1885.3066131227765
50.0,60,1878.8226723292503
50.0,65,1867.7848308606947
50.0,70,1833.1640840090722
50.0,75,1820.4207417185899
50.0,80,1811.7347592327098
50.0,85,1798.970206871273
50.0,90,1765.4533365082295
50.0,95,1765.4533365082295
60.0,10,2024.944437023812
60.0,15,2024.5432209289174
60.0,20,2024.6096057888317
60.0,25,2030.1889997568253
60.0,30,2030.1889997568253
60.0,35,2020.4683982745778
60.0,40,2024.0997922207457
60.0,45,1987.854067895637
60.0,50,1982.3152682934494
60.0,55,1963.7680682934497
60.0,60,1936.6239042950883
60.0,65,1926.7167026292666
60.0,70,1941.0722354763427
60.0,75,1950.8244013550168
60.0,80,1952.1038644809703
60.0,85,1907.8273761994717
60.0,90,1907.5431545218325
60.0,95,1907.5431545218325
70.0,10,2074.6095943301266
70.0,15,2074.347912761604
70.0,20,2074.6446119413026
70.0,25,2074.6446119413026
70.0,30,2074.6446119413026
70.0,35,2068.3547264999434
70.0,40,2078.611163804183
70.0,45,2078.671466725934
70.0,50,2064.80992319825
70.0,55,2074.411672116681
70.0,60,2049.013069174477
70.0,65,2018.5302490262704
70.0,70,1989.892795226352
70.0,75,1966.8999089342249
70.0,80,1936.0504175134608
70.0,85,1929.6302745504681
70.0,90,1929.7527602492264
70.0,95,1929.7527602492264
80.0,10,2111.9826204934416
80.0,15,2108.1539951993973
80.0,20,2117.749469562988
80.0,25,2117.749469562988
80.0,30,2114.342856597693
80.0,35,2135.3650812492974
80.0,40,2135.3650812492974
80.0,45,2142.95697034945
80.0,50,2139.560949567627
80.0,55,2124.262637900828
80.0,60,2129.089096558069
80.0,65,2125.737770894116
80.0,70,2126.865572021871
80.0,75,2090.7958480845787
80.0,80,2095.7011660183025
80.0,85,2054.963535142782
80.0,90,2023.6063206818412
80.0,95,2023.6063206818412
90.0,10,2169.735332539055
90.0,15,2169.58637275791
90.0,20,2184.505191814048
90.0,25,2184.505191814048
90.0,30,2195.059856554162
90.0,35,2182.7983850841892
90.0,40,2183.633273928854
90.0,45,2166.042613273135
90.0,50,2167.14475719898
90.0,55,2179.7375746958373
90.0,60,2178.181591548927
90.0,65,2126.897800238276
90.0,70,2131.958062330157
90.0,75,2119.8100701401904
90.0,80,2111.257400924211
90.0,85,2024.6811033330991
90.0,90,2024.6811033330991
90.0,95,2024.6811033330991
100.0,10,2164.929907114338
100.0,15,2180.591973703388
100.0,20,2186.277990913622
100.0,25,2180.682824625139
100.0,30,2188.5593069261745
100.0,35,2171.90988707764
100.0,40,2157.0829348775906
100.0,45,2142.111238234028
100.0,50,2187.81385018189
100.0,55,2200.2638919384276
100.0,60,2190.660167413162
100.0,65,2146.9510025241157
100.0,70,2156.235811819439
100.0,75,2068.3310524997796
100.0,80,2083.6507264242464
100.0,85,2091.2342186506835
100.0,90,2077.083232216563
100.0,95,2077.083232216563
110.0,10,2178.938270697241
110.0,15,2185.4205415256165
110.0,20,2185.3244864002827
110.0,25,2192.6913845797458
110.0,30,2201.5548609543835
110.0,35,2207.9362434521468
110.0,40,2199.2087435962535
110.0,45,2237.6710725348385
110.0,50,2224.1772174649677
110.0,55,2165.105169939979
110.0,60,2167.5418677311814
110.0,65,2164.968062984085
110.0,70,2210.340590408658
110.0,75,2158.9428849508695
110.0,80,2152.077666635113
110.0,85,2152.077666635113
110.0,90,2125.024617463871
110.0,95,2125.024617463871
120.0,10,2202.3029045230605
120.0,15,2209.355171249912
120.0,20,2209.355171249912
120.0,25,2220.745409447522
120.0,30,2236.136478016818
120.0,35,2236.146244662644
120.0,40,2247.9483835790834
120.0,45,2282.9815399431586
120.0,50,2253.8380326497077
120.0,55,2220.6929520346866
120.0,60,2209.9433176721363
120.0,65,2250.503626976801
120.0,70,2237.1141850871973
120.0,75,2220.206999527631
120.0,80,2222.309210758986
120.0,85,2210.570857227059
120.0,90,2186.8022904707886
120.0,95,2186.8022904707886
130.0,10,2177.4472867003524
130.0,15,2183.704736467294
130.0,20,2183.704736467294
130.0,25,2189.165700682596
130.0,30,2192.304742418178
130.0,35,2252.488135554738
130.0,40,2266.257392953885
130.0,45,2293.568479711249
130.0,50,2270.2944850112535
130.0,55,2262.9198935787367
130.0,60,2249.04610028533
130.0,65,2261.561398976881
130.0,70,2219.985914320379
130.0,75,2217.4938022011697
130.0,80,2231.261529597451
130.0,85,2233.3006618613854
130.0,90,2170.597739800489
130.0,95,2170.597739800489
140.0,10,2185.2725928631917
140.0,15,2196.7896311417535
140.0,20,2196.7896311417535
140.0,25,2196.030022036516
140.0,30,2180.3039297654927
140.0,35,2213.1583792027454
140.0,40,2317.029227087327
140.0,45,2288.8123336819676
140.0,50,2254.6170085840195
140.0,55,2255.9550968460085
140.0,60,2270.6150724783574
140.0,65,2266.9583684618815
140.0,70,2279.4029416808244
140.0,75,2302.4073077228136
140.0,80,2321.3215532439435
140.0,85,2291.2289524244065
140.0,90,2257.519049867369
140.0,95,2257.519049867369
150.0,10,2210.592346408418
150.0,15,2218.802106714986
150.0,20,2218.802106714986
150.0,25,2214.0033503749664
150.0,30,2226.0992693919306
150.0,35,2311.7327966891485
150.0,40,2287.5971119030046
150.0,45,2270.115112417227
150.0,50,2257.622343824005
150.0,55,2284.4916217276277
150.0,60,2306.6215432535955
150.0,65,2306.834283309249
150.0,70,2347.1331510322657
150.0,75,2332.6151654847213
150.0,80,2260.351115919432
150.0,85,2248.3374759826734
150.0,90,2211.663046680519
150.0,95,2211.663046680519
